,Y
4646,1
2279,1
3160,1
1711,1
3728,1
3136,1
5641,1
3652,1
5298,1
5950,1
3243,1
3977,1
4547,1
328,1
2514,1
6516,1
5610,1
688,1
617,1
5863,1
5617,1
3987,1
5368,1
454,1
3865,1
1426,1
292,1
5475,1
4426,1
3335,1
2283,1
907,1
6325,1
4608,1
5831,1
4701,1
1436,1
3649,1
3601,1
5565,1
4343,1
94,1
2914,1
5076,1
6116,1
4501,1
4308,1
4652,1
897,1
2273,1
6470,1
3577,1
4298,1
4791,1
5962,1
908,1
5824,1
2463,1
5896,1
3245,1
997,1
4830,1
5788,1
4921,1
2013,1
4494,1
4310,1
2449,1
5413,1
1949,1
4479,1
2046,1
96,1
6299,1
1260,1
6129,1
4565,1
670,1
3119,1
2991,1
4915,1
6311,1
5105,1
1245,1
1186,1
1813,1
5074,1
2392,1
5064,1
2990,1
3123,1
4771,1
6091,1
2641,1
5805,1
3398,1
3275,1
4281,1
5613,1
5855,1
2633,1
6423,1
353,1
400,1
4362,1
5345,1
2315,1
6389,1
4481,1
654,1
3844,1
236,1
4723,1
788,1
1933,1
5088,1
4644,1
5807,1
3917,1
2659,1
2544,1
2725,1
4716,1
6351,1
48,1
4649,1
4934,1
317,1
5912,1
2047,1
1472,1
1380,1
2417,1
5653,1
1526,1
1682,1
1934,1
2801,1
3755,1
798,1
6312,1
2172,1
3424,1
2331,1
1545,1
2448,1
5599,1
5646,1
1704,1
2125,1
4141,1
6235,1
3815,1
137,1
2655,1
4159,1
4051,1
5604,1
106,1
5533,1
2017,1
2828,1
3099,1
3902,1
1601,1
1144,1
1751,1
4273,1
3211,1
668,1
758,1
4161,1
2429,1
5477,1
5334,1
6100,1
4808,1
748,1
2175,1
871,1
3196,1
2609,1
3959,1
3603,1
2523,1
403,1
541,1
1277,1
1619,1
1310,1
1311,1
5378,1
4093,1
3833,1
361,1
4328,1
3676,1
1913,1
995,1
6,1
5150,1
2680,1
2504,1
2839,1
3962,1
3081,1
4012,1
524,1
4638,1
6160,1
5372,1
5004,1
3536,1
1523,1
5582,1
2334,1
5940,1
2707,1
201,1
4949,1
5015,1
1114,1
3852,1
516,1
5733,1
2698,1
2673,1
28,1
2567,1
383,1
5929,1
5685,1
3556,1
110,1
433,1
2184,1
5460,1
413,1
5036,1
6509,1
6136,1
2812,1
100,1
3748,1
5191,1
4799,1
962,1
5071,1
3566,1
5246,1
4579,1
2869,1
2070,1
1193,1
2774,1
4779,1
6196,1
2704,1
4884,1
3361,1
1744,1
4363,1
2694,1
2877,1
1755,1
4088,1
3310,1
183,1
4122,1
4962,1
410,1
279,1
6335,1
5083,1
2067,1
6275,1
5307,1
5806,1
3975,1
3238,1
863,1
115,1
104,1
3692,1
2929,1
3206,1
778,1
5791,1
5375,1
19,1
493,1
2519,1
3991,1
3736,1
6322,1
437,1
4836,1
401,1
1196,1
2548,1
4527,1
5462,1
561,1
4621,1
5458,1
251,1
457,1
722,1
1815,1
4587,1
4378,1
5318,1
736,1
5992,1
1579,1
6402,1
5526,1
2378,1
16,1
1758,1
311,1
4477,1
2336,1
2550,1
4221,1
3729,1
2345,1
1889,1
5744,1
616,1
3476,1
3127,1
6391,1
6393,1
1750,1
6303,1
3752,1
4943,1
174,1
4828,1
1754,1
3233,1
2822,1
2834,1
1628,1
2309,1
614,1
1774,1
2778,1
4844,1
5275,1
5737,1
3091,1
2679,1
1419,1
5104,1
835,1
3616,1
5324,1
4232,1
1736,1
4760,1
6003,1
4987,1
2049,1
3008,1
5242,1
3760,1
2320,1
5935,1
1765,1
764,1
2653,1
1787,1
6065,1
3793,1
5835,1
85,1
199,1
1133,1
4189,1
3914,1
5100,1
5857,1
23,1
1942,1
2431,1
6459,1
5455,1
2920,1
2535,1
5019,1
4803,1
3738,1
3144,1
3092,1
2064,1
209,1
1794,1
5692,1
325,1
5830,1
1590,1
2317,1
1692,1
6440,1
3784,1
241,1
2760,1
1614,1
52,1
5629,1
4610,1
3500,1
4800,1
684,1
2737,1
316,1
2232,1
1780,1
6323,1
1241,1
4510,1
265,1
5837,1
567,1
4642,1
2784,1
4994,1
2188,1
6151,1
5691,1
2902,1
6319,1
4588,1
6197,1
3875,1
3832,1
3610,1
3626,1
3628,1
2137,1
3627,1
4297,1
2813,1
4173,1
5235,1
