,Y
1052,1
4399,1
4785,1
3778,1
4954,1
4874,1
4966,1
6253,1
4592,1
5507,1
2687,1
297,1
1962,1
2588,1
1687,1
2327,1
3140,1
6233,1
4178,1
2403,1
2205,1
1154,1
729,1
5021,1
2998,1
1946,1
5577,1
3605,1
6254,1
3737,1
6206,1
6263,1
4374,1
468,1
3588,1
1101,1
593,1
3142,1
2458,1
3498,1
393,1
4138,1
3510,1
3339,1
4937,1
3269,1
80,1
1950,1
5681,1
1315,1
5948,1
5488,1
1669,1
35,1
883,1
3678,1
1401,1
1536,1
1332,1
4797,1
2767,1
1635,1
2640,1
417,1
5205,1
6013,1
1513,1
6001,1
2218,1
3271,1
4301,1
4251,1
2089,1
1575,1
3645,1
4558,1
4875,1
540,1
5257,1
1993,1
866,1
2682,1
2772,1
5537,1
1489,1
3915,1
6437,1
2619,1
4468,1
6108,1
5116,1
5195,1
1271,1
2253,1
6267,1
3449,1
2288,1
1812,1
5432,1
2072,1
3768,1
702,1
147,1
1997,1
3170,1
4903,1
13,1
6239,1
4420,1
4956,1
3183,1
3564,1
5320,1
6165,1
1899,1
5934,1
6075,1
1289,1
2831,1
2120,1
5621,1
1125,1
3209,1
1877,1
5489,1
970,1
4548,1
2501,1
787,1
1818,1
5841,1
3246,1
5288,1
2947,1
4284,1
237,1
4451,1
1189,1
509,1
5774,1
5700,1
785,1
2318,1
190,1
3213,1
604,1
3942,1
5677,1
4533,1
6004,1
3430,1
556,1
2037,1
3147,1
1923,1
3386,1
2044,1
4040,1
3018,1
1648,1
1378,1
6148,1
2123,1
1463,1
4336,1
5069,1
6072,1
953,1
534,1
3466,1
790,1
3270,1
6513,1
3848,1
2635,1
843,1
4609,1
5665,1
3051,1
5885,1
3892,1
1943,1
4500,1
1157,1
79,1
1303,1
1307,1
3919,1
3167,1
5125,1
2984,1
1681,1
3370,1
4300,1
1319,1
2827,1
310,1
1886,1
1145,1
4466,1
276,1
5595,1
2989,1
5436,1
1760,1
1075,1
691,1
4521,1
2553,1
1228,1
4927,1
3193,1
1217,1
5699,1
1557,1
6403,1
2848,1
677,1
492,1
5376,1
1072,1
5651,1
619,1
4614,1
2863,1
1937,1
689,1
3489,1
4154,1
2234,1
1099,1
5525,1
3027,1
678,1
4356,1
585,1
6495,1
2461,1
2305,1
889,1
2527,1
649,1
6464,1
587,1
6431,1
377,1
2498,1
6384,1
5778,1
3413,1
125,1
2908,1
2156,1
1749,1
4976,1
5710,1
4984,1
3283,1
1349,1
5799,1
2157,1
5114,1
3800,1
5139,1
2932,1
73,1
2124,1
6410,1
395,1
3948,1
4704,1
3484,1
139,1
1752,1
3994,1
4312,1
6191,1
3838,1
1634,1
543,1
1878,1
6346,1
5932,1
3702,1
17,1
443,1
3456,1
4730,1
5119,1
6292,1
1011,1
260,1
626,1
4693,1
5155,1
2221,1
4645,1
5878,1
902,1
2043,1
449,1
975,1
2613,1
3349,1
5120,1
2097,1
5728,1
1546,1
2917,1
3598,1
5573,1
5572,1
1097,1
1996,1
4576,1
1198,1
225,1
5030,1
5584,1
5073,1
3406,1
422,1
2605,1
3235,1
5265,1
283,1
4643,1
4282,1
4569,1
4036,1
3356,1
6417,1
4709,1
89,1
3201,1
924,1
5645,1
2490,1
3503,1
4132,1
2601,1
3185,1
2207,1
3615,1
1806,1
4924,1
609,1
1412,1
1883,1
3397,1
1675,1
1541,1
986,1
6493,1
133,1
1644,1
1467,1
4025,1
2974,1
6424,1
3618,1
4552,1
1333,1
1135,1
4044,1
4309,1
496,1
2166,1
3701,1
1483,1
6404,1
1359,1
5603,1
5899,1
2310,1
5953,1
186,1
6020,1
4002,1
2862,1
931,1
4600,1
5538,1
1761,1
5454,1
1475,1
2746,1
2107,1
2351,1
4364,1
4382,1
3417,1
2401,1
214,1
1088,1
3597,1
3393,1
2797,1
745,1
2972,1
3565,1
3774,1
594,1
6140,1
3923,1
4967,1
4555,1
6400,1
5245,1
6361,1
742,1
2678,1
5848,1
2656,1
5084,1
5393,1
3110,1
1900,1
4983,1
2369,1
2275,1
5282,1
4200,1
5009,1
2271,1
490,1
6042,1
1396,1
448,1
5066,1
5254,1
475,1
371,1
6291,1
123,1
844,1
6401,1
5365,1
1373,1
4790,1
6069,1
5650,1
4691,1
3711,1
2730,1
375,1
5407,1
2077,1
3770,1
4305,1
5445,1
5435,1
6028,1
5560,1
536,1
3715,1
4234,1
4266,1
5851,1
4006,1
3903,1
5008,1
4941,1
1602,1
6266,1
103,1
1076,1
3038,1
2865,1
4744,1
453,1
2177,1
3418,1
4480,1
2597,1
4811,1
5260,1
477,1
2359,1
1409,1
1737,1
533,1
4385,1
188,1
5340,1
4064,1
4754,1
5800,1
5250,1
550,1
4418,1
1527,1
3791,1
4869,1
5045,1
4206,1
675,1
4972,1
5796,1
5544,1
55,1
2657,1
3052,1
6183,1
1136,1
1641,1
3644,1
2341,1
2093,1
4199,1
2178,1
1740,1
3414,1
1242,1
3350,1
5157,1
3814,1
2602,1
452,1
1797,1
5189,1
4201,1
2753,1
5772,1
1615,1
2133,1
3595,1
795,1
4010,1
462,1
2142,1
760,1
235,1
357,1
5683,1
4796,1
1033,1
5673,1
884,1
4024,1
2585,1
2926,1
2303,1
2555,1
989,1
6225,1
3252,1
5255,1
2651,1
4684,1
4910,1
3352,1
1388,1
1278,1
890,1
6163,1
2948,1
2131,1
3447,1
1251,1
66,1
459,1
2332,1
1706,1
2781,1
3775,1
4602,1
6039,1
6256,1
1901,1
1265,1
176,1
6309,1
3105,1
268,1
5230,1
6176,1
1038,1
2007,1
5956,1
3399,1
716,1
2594,1
1150,1
882,1
3916,1
5605,1
1890,1
2014,1
6203,1
1444,1
4524,1
4706,1
1073,1
2358,1
3011,1
5925,1
4171,1
1611,1
4639,1
166,1
4137,1
5571,1
2202,1
3929,1
1826,1
458,1
4737,1
2001,1
4436,1
181,1
2145,1
5400,1
2339,1
1022,1
1505,1
6061,1
5401,1
4330,1
