,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
1052,Control_A_3-4.jpg,224,48,20.0,0.0,15.222222,5.397759,20.0,-0.32910500000000004,-1.190658,26.0,0.0,15.864198000000002,6.173926,67.0,-1.000913,-4.472126
4399,20191128_191028_HDR_2.jpg,84,30,2.0,5.0,-0.91358,1.6791939999999999,2.0,0.22571599999999997,-1.557341,3.0,5.0,-0.8888889999999999,1.8189669999999998,62.0,-1.040093,-6.680494
4785,20191128_190652_HDR_2.jpg,121,31,4.0,8.0,2.864198,2.609352,4.0,0.22245399999999999,0.301333,11.0,8.0,5.271605,4.265892,99.0,-1.224742,-5.782946
3778,20191128_191356_HDR_2.jpg,96,36,13.0,3.0,7.777778,4.853407,13.0,-0.33551,-1.652882,16.0,3.0,7.802469,5.136218,85.0,-1.15795,-5.497775
4954,20191128_192315_HDR_2.jpg,98,37,9.0,7.0,6.3456790000000005,3.897326,9.0,-0.186617,-0.6939069999999999,18.0,7.0,7.160494,5.095282,101.0,-1.2328459999999999,-5.865705999999999
4874,20191128_190652_HDR_2.jpg,54,47,6.0,7.0,1.024691,3.5831410000000004,6.0,-0.111799,-2.047543,10.0,7.0,1.185185,3.9600199999999997,97.0,-1.2296040000000001,-6.996577
4966,20191128_192402_HDR_2.jpg,131,40,7.0,3.0,5.17284,2.6283830000000004,7.0,0.017362,-0.36557399999999995,12.0,3.0,5.641975,3.6014699999999995,75.0,-1.099335,-5.5710180000000005
6253,20191128_192218_HDR_2.jpg,86,31,22.0,1.0,15.493827,6.836942999999999,22.0,-0.396596,-1.334471,29.0,1.0,15.814815,7.617574,82.0,-1.103306,-4.638637999999999
4592,Control_2_Bregma_-3.12_PS_(1x).jpg,173,37,20.0,0.0,14.753085999999998,5.4195139999999995,20.0,-0.402341,-1.533125,24.0,0.0,15.049382999999999,6.001854,88.0,-1.145707,-5.142219
5507,20191128_190910_HDR_2.jpg,122,31,7.0,8.0,2.987654,4.503754,7.0,-0.17286500000000002,-1.262679,13.0,8.0,3.666667,4.708804,102.0,-1.244183,-6.810262
2687,20191128_191320_HDR_2.jpg,68,41,5.0,5.0,1.222222,2.69888,5.0,0.06372699999999999,-1.106485,10.0,5.0,1.679012,3.915235,90.0,-1.191806,-6.150047
297,20191128_190910_HDR_2.jpg,70,40,7.0,10.0,2.1728400000000003,4.2098949999999995,7.0,-0.193195,-1.538058,10.0,10.0,2.407407,4.74479,88.0,-1.186145,-5.978477
1962,Control_A_-4.08.jpg,97,81,17.0,42.0,11.37037,10.554321,17.0,-0.20509000000000002,-0.8087949999999999,50.0,42.0,17.888889000000002,15.555556,68.0,-0.98014,-4.138747
